DPP_ID,Sector,Product_Name,Manufacturer,Manufacturing_Country_ISO2,Manufacturing_Date,Product_Version,Unit_of_Measure,Product_Weight_kg,Expected_Lifetime_Years,Primary_Material_pct,Secondary_Material_pct,Other_Materials_pct,Recycled_Content_pct,Bio_Based_Content_pct,CRM_Composition_detail,CRM_Total_pct,Hazardous_Substances,Hazardous_Flag,GWP_Total_kgCO2eq,GWP_A1_A3_Extraction_kgCO2eq,GWP_A4_A5_Manufacturing_kgCO2eq,GWP_B_Use_Phase_kgCO2eq,GWP_C_EoL_kgCO2eq,LCA_Extraction_pct,LCA_Manufacturing_pct,LCA_Use_Phase_pct,LCA_EoL_pct,LCA_Sum_check,Energy_Manufacturing_MJ,Renewable_Energy_Share_pct,Water_Usage_Litres,Land_Use_m2a,Eutrophication_kgPeq,Acidification_molHp,Particulate_Matter_kgPM25eq,Resource_Depletion_kgSbeq,Recyclability_Score_pct,Repairability_Score_1_10,Durability_Index_0_1,Disassembly_Time_min,Spare_Parts_Available_Years,Design_for_Disassembly,Remanufacturing_Potential,EoL_Scenario,EoL_Recovery_Rate_pct,EoL_Treatment_Country,Collection_Infrastructure,Primary_Supply_Country,Supply_Concentration_Risk_1_10,Transport_Distance_km,Transport_GWP_kgCO2eq,Conflict_Minerals_Flag,Social_Risk_Score_1_10,Certifications,REACH_SVHC_Compliant,RoHS_Compliant,ESPR_Applicable,EU_Battery_Reg_Applicable,CRMA_Strategic_Material,DPP_Completeness_Score,DPP_Data_Quality,DPP_Verifier,DPP_Issue_Date,DPP_Expiry_Date,DPP_Standard_Version,Data_Source,Anomaly_Flag,Anomaly_Type,Anomaly_Severity,Unnamed: 70,Unnamed: 71,ANOMALY LABELS
DPP-BAT-00011,Battery,Supercapacitor Hybrid Pack,Covestro AG (DE),HU,2025-05-06,v1.4,kWh capacity,73.82,12,23.0,30.07,46.93,4.3,1.3,Lithium: 3.1558%; Vanadium: 3.7743%,6.9301,None declared,False,315747.2,42625.87,123141.41,76095.08,73884.84,13.5,39.0,24.1,23.4,100,3609.38,14.8,13241.02,79.628,33.05322,0.51658,0.0744,1.5799714,18.3,8.6,0.618,159.0,10.0,Yes,Low,Second-life cascade application,95.5,FR,Municipal WEEE,CA,4.0,17800.0,328.499,False,3.4,ISO 50001; ISO 14040/44 LCA; OEKO-TEX® STANDARD 100; ESPR Regulation EU/2024/1781; CE Marking,True,True,False,True,True,0.773,Medium,SGS,2025-06-22,2030-06-21,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-BAT-00012,Battery,Solid-State Battery Module,EnerTeck (FR),HU,2021-07-04,v2.6,kWh capacity,467.25,10,20.35,26.1,53.55,30.4,3.1,Manganese: 7.0717%; Lithium: 0.8015%; Vanadium: 0.8298%,8.703,Cadmium; NMP solvent,True,1299831.5,396448.61,451041.53,214472.2,237869.16,30.5,34.7,16.5,18.3,100,2896.64,54.6,82624.45,133.068,1.31367,18.58176,4.147321,0.5349028,57.5,7.5,0.978,144.0,5.0,Yes,Low,Chemical recycling (pyrolysis),60.9,DK,PRO (Producer Responsibility),ZA,6.9,4114.0,480.567,False,4.2,REACH Reg. EC/1907/2006,True,True,True,True,True,0.915,Low,TÜV SÜD,2021-09-23,2026-09-22,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-BAT-00013,Battery,Grid-Scale BESS Module,Samsung Electronics (KR),CZ,2018-10-23,v5.3,kWh capacity,280.964,5,30.43,16.16,53.41,16.1,4.1,Manganese: 7.8307%,7.8307,Sulfuric acid,True,603075.17,145944.19,225550.11,91064.35,140516.51,24.2,37.4,15.1,23.3,100,5706.69,69.3,135734.14,34.375,11.81421,2.92974,0.986439,1.2048019,71.3,7.2,0.553,105.0,0.0,Partial,High,Pyrometallurgical smelting,48.3,RO,Take-back scheme,NG,1.7,15682.0,1101.519,False,5.2,ISO 50001; REACH Reg. EC/1907/2006; OEKO-TEX® STANDARD 100,False,True,False,True,True,0.542,High,DEKRA,2018-12-01,2023-11-30,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-BAT-00014,Battery,Second-Life Battery Module,Umicore NV (BE),PL,2018-09-27,v2.1,kWh capacity,234.135,13,23.79,17.49,58.72,3.0,2.7,Nickel: 7.2398%; Vanadium: 8.1978%,15.4376,NMP solvent; Cadmium,True,95423.09,31680.47,44944.28,15172.27,3626.08,33.2,47.1,15.9,3.8,100,7688.32,62.8,77518.46,25.79,26.32705,13.23892,4.381976,1.2360668,54.6,6.0,0.75,80.0,2.0,Partial,Not assessed,Direct reuse / refurbishment,18.2,PE,Take-back scheme,ID,5.6,426.0,24.935,False,2.6,EN 15804+A2; ISO 50001; REACH Reg. EC/1907/2006,True,True,False,True,True,0.971,Medium,Bureau Veritas,2018-12-03,2020-12-02,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-BAT-00015,Battery,Lead-Acid Starter Battery,Veolia Environnement (FR),CZ,2020-07-08,v4.0,kWh capacity,24.59,6,13.45,38.54,48.01,21.3,3.3,Cobalt: 0.3352%,0.3352,NMP solvent,True,93299.82,24631.15,34054.43,34241.03,373.2,26.4,36.5,36.7,0.4,100,25.78,7.3,2652.44,,48.73275,1.35452,2.630345,1.0146603,70.8,4.8,0.843,58.0,,Partial,High,Mechanical recycling,31.0,CL,Industrial collection,CA,6.6,1224.0,7.525,False,1.4,EPD (Environmental Product Declaration); ESPR Regulation EU/2024/1781; ISO 14001:2015; Cradle to Cradle Certified,False,True,True,True,True,0.733,Medium,DEKRA,2020-08-23,2023-08-23,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-BAT-00016,Battery,Sodium-Ion Battery Cell,Vishay Intertechnology (US),CH,2020-12-28,v2.5,kWh capacity,561.798,11,78.07,21.93,,31.9,0.8,Natural Graphite: 4.6411%; Cobalt: 2.7371%,7.3782,None declared,False,921142.61,186991.95,281869.64,277263.93,175017.1,20.3,30.6,30.1,19.0,100,4727.85,38.2,124709.04,89.426,18.54885,8.87934,0.384519,0.2753988,55.9,6.5,0.604,154.0,0.0,No,Not assessed,Chemical recycling (pyrolysis),69.1,RO,PRO (Producer Responsibility),RU,5.6,13523.0,,False,3.2,ISO 14001:2015; EN 15804+A2,True,True,True,True,True,0.917,Medium,TÜV SÜD,2021-02-08,2022-02-08,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-BAT-00017,Battery,Prismatic NMC Cell,Verkor SAS (FR),BE,2019-05-29,v5.5,kWh capacity,680.804,15,38.08,61.92,0,32.7,0.1,Manganese: 4.4024%; Vanadium: 1.0996%,5.502,Sulfuric acid; NMP solvent,True,2613551.95,378965.03,852017.94,925197.39,457371.59,14.5,32.6,35.4,17.5,100,28312.19,3.9,176379.41,60.825,32.07305,11.53585,3.255685,1.5339203,16.3,3.0,0.963,125.0,9.0,No,High,Chemical recycling (pyrolysis),32.1,CL,Industrial collection,NG,3.5,11288.0,1921.229,False,6.8,ESPR Regulation EU/2024/1781; ISO 14040/44 LCA; CE Marking; Cradle to Cradle Certified; EN 15804+A2,,True,True,True,True,0.775,High,Bureau Veritas,2019-07-21,2024-07-19,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-BAT-00018,Battery,Pouch Cell Module,STMicroelectronics (NL),NO,2021-03-16,v3.7,kWh capacity,378.0,6,27.6,5.8,66.6,28.9,0.7,Nickel: 6.1865%,6.1865,Cadmium,True,,10092.09,29677.58,15138.13,30618.37,11.8,34.7,17.7,35.8,100,5481.46,79.2,73031.53,90.071,,7.8597,3.082541,,43.5,6.6,0.728,32.0,0.0,Partial,Low,Energy recovery (incineration),42.8,PL,Not established,NG,9.5,13614.0,1286.523,False,7.4,EPD (Environmental Product Declaration); ESPR Regulation EU/2024/1781,True,True,True,True,True,0.671,High,TÜV SÜD,2021-04-04,2023-04-04,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-BAT-00019,Battery,Prismatic NMC Cell,Infineon (DE),IT,2024-11-03,v5.3,kWh capacity,341.505,8,37.16,28.9,33.94,13.8,3.2,Nickel: 6.5573%; Cobalt: 5.9946%; Phosphorus: 5.8701%,18.422,Cadmium,True,,242508.43,390799.05,248243.42,-62265.68,,47.7,30.3,-7.6,100,4938.4,4.5,,108.638,20.66566,14.34744,0.502814,1.5415344,67.7,4.1,0.841,36.0,0.0,Yes,Medium,Upcycling to new application,94.1,BE,Industrial collection,RU,9.3,11842.0,1011.026,False,5.3,ISO 50001; CE Marking; ESPR Regulation EU/2024/1781; EU Battery Regulation 2023/1542,,True,True,True,True,0.963,Low,Bureau Veritas,2024-12-10,2029-12-09,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-BAT-00020,Battery,Lead-Acid Starter Battery,Patagonia Inc. (US),PL,2018-12-22,v5.5,kWh capacity,283.579,6,16.67,69.68,13.65,12.6,2.7,Manganese: 2.7574%,2.7574,None declared,False,9698.48,2269.44,2967.73,1386.88,3074.42,23.4,30.6,14.3,31.7,100,4692.75,56.4,82592.74,114.575,10.92136,4.95006,3.773722,1.7462714,23.3,3.1,0.767,,1.0,Yes,Not assessed,Energy recovery (incineration),70.4,ES,Not established,US,2.1,16499.0,1169.692,False,1.7,REACH Reg. EC/1907/2006; EPD (Environmental Product Declaration); ISO 50001,True,True,True,True,True,0.571,Medium,DNV,2019-02-09,2023-02-08,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-BAT-00021,Battery,Sodium-Ion Battery Cell,Solvay SA (BE),FI,2024-01-10,v2.0,kWh capacity,278.176,7,24.42,42.36,33.22,25.4,4.6,Phosphorus: 0.2030%,0.203,Lead,True,936762.02,272597.75,314752.04,316625.56,32786.67,29.1,33.6,33.8,3.5,100,3463.53,49.0,48155.76,55.13,28.87416,15.45099,4.091931,0.4738157,70.6,2.0,0.867,101.0,0.0,Yes,Medium,Pyrometallurgical smelting,28.1,NL,Industrial collection,DRC,,10800.0,751.075,False,3.5,ISO 50001,True,True,False,True,True,0.857,Medium,DNV,2024-03-19,2029-03-18,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-BAT-00022,Battery,Supercapacitor Hybrid Pack,VELUX A/S (DK),NO,2020-09-20,v5.5,kWh capacity,488.46,8,62.6,6.43,30.97,26.7,3.2,Natural Graphite: 2.7405%,,Lead,True,1138736.54,372366.85,293794.03,200417.63,272158.03,32.7,,17.6,,100,21566.64,41.7,,160.563,8.41251,15.89972,0.846412,1.4406299,55.6,3.9,0.442,76.0,0.0,No,Medium,Second-life cascade application,86.0,SE,Not established,CN,3.3,16832.0,2055.44,True,5.7,Bluesign®; RoHS Directive 2011/65/EU; EU Battery Regulation 2023/1542; EN 15804+A2; ISO 50001,True,True,False,True,True,0.631,Medium,Intertek,2020-12-01,2024-11-30,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-BAT-00023,Battery,Lithium-Sulfur Prototype Cell,IndiTex Group (ES),FR,2025-02-21,v3.6,kWh capacity,11.568,7,70.38,29.62,0,24.0,3.6,Phosphorus: 5.4853%; Manganese: 2.8225%,8.3078,None declared,False,51754.78,21840.52,11903.6,18890.49,-879.83,42.2,23.0,36.5,-1.7,,400.78,42.6,3278.53,54.219,48.71619,1.07487,2.185498,1.6773509,,3.5,0.68,158.0,2.0,No,Not assessed,Composting (bio-based only),11.4,DK,PRO (Producer Responsibility),DRC,2.3,14790.0,42.773,True,6.7,CE Marking; ISO 14040/44 LCA; EU Battery Regulation 2023/1542; EN 15804+A2,False,True,True,True,True,0.76,High,Self-declared,2025-06-10,2030-06-09,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-BAT-00024,Battery,NCA Battery Module,Verkor SAS (FR),ES,2023-06-07,v4.5,kWh capacity,548.953,10,47.37,8.76,43.87,15.1,2.7,Vanadium: 5.3165%,5.3165,Sulfuric acid; NMP solvent,True,1256737.47,184740.41,191024.1,236266.64,644706.32,14.7,15.2,18.8,75.7,124.4,23109.0,57.9,104287.89,172.44,27.50541,19.06014,2.308165,1.416737,35.8,8.4,0.756,143.0,,No,Low,Composting (bio-based only),63.1,DK,Municipal WEEE,PH,3.8,17366.0,2383.279,False,7.1,EU Battery Regulation 2023/1542; Bluesign®; FSC Certified,True,True,False,True,True,,High,Self-declared,2023-08-18,2026-08-17,ESPR 2024/1781 v1.0,Modelled (SimaPro),True,LCA lifecycle sum ≠ 100% (inconsistency),High,,,
DPP-BAT-00025,Battery,Solid-State Battery Module,Solvay SA (BE),SE,2021-11-27,v2.4,kWh capacity,221.764,12,19.04,12.0,68.96,8.5,0.5,Manganese: 0.8388%; Nickel: 6.1397%; Phosphorus: 3.8513%,10.8298,None declared,False,332946.58,127851.49,63259.85,115532.46,26302.78,38.4,19.0,34.7,7.9,100,7192.63,74.1,75086.14,32.871,9.3488,6.52037,2.287806,0.5247142,73.9,2.6,0.412,,7.0,No,Low,Pyrometallurgical smelting,80.2,CL,Not established,ZA,2.7,11866.0,657.863,False,6.5,ISO 14001:2015; Bluesign®; EPD (Environmental Product Declaration); ISO 50001,True,True,True,,True,0.697,Medium,DNV,2021-12-08,2023-12-08,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-BAT-00026,Battery,NMC 811 Battery Cell,VELUX A/S (DK),PT,2024-05-05,v3.9,kWh capacity,521.05,12,41.17,58.83,0,1.1,1.4,Lithium: 6.9997%; Nickel: 3.1247%; Natural Graphite: 6.9940%,17.1184,None declared,False,1980007.01,502921.78,447481.58,394021.39,635582.25,25.4,22.6,19.9,32.1,100,19188.1,,170306.84,49.506,42.90098,19.70978,3.396529,0.1904594,66.2,3.4,0.904,22.0,1.0,No,High,Pyrometallurgical smelting,28.5,AU,PRO (Producer Responsibility),US,4.2,12822.0,1670.226,False,7.3,EN 15804+A2; EPD (Environmental Product Declaration); CE Marking; ISO 50001,True,True,True,True,True,0.897,High,Intertek,2024-08-12,2029-08-11,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-BAT-00027,Battery,NiMH Hybrid Battery Pack,Automotive Cells Co. (FR),DE,2022-10-19,v1.1,kWh capacity,145.611,7,32.76,27.98,39.26,8.2,1.9,Phosphorus: 7.9288%,7.9288,Lithium hexafluorophosphate,True,476578.56,89596.77,133442.0,174427.75,79112.04,18.8,28.0,36.6,16.6,100,1217.26,,28860.24,61.102,43.72499,12.83188,3.385718,0.1368325,54.0,6.9,0.793,1.0,7.0,Partial,High,Chemical recycling (pyrolysis),21.7,AT,Not established,NG,7.1,266.0,9.683,,5.0,FSC Certified; ISO 14040/44 LCA; RoHS Directive 2011/65/EU,True,True,False,True,True,0.832,Medium,TÜV SÜD,2022-12-26,2026-12-25,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-BAT-00028,Battery,Solid-State Battery Module,BASF SE (DE),BE,2018-02-26,v2.1,kWh capacity,187.219,5,,30.35,,28.3,2.5,Natural Graphite: 5.3466%; Nickel: 4.2639%,9.6105,Lead,True,656964.22,84748.38,222053.91,174752.48,175409.45,12.9,33.8,,26.7,,2610.89,29.5,29016.69,102.261,25.86162,,1.296309,0.7437451,19.2,5.8,0.574,153.0,5.0,Partial,Low,Chemical recycling (pyrolysis),37.3,HU,Municipal WEEE,US,9.6,4372.0,204.63,True,4.0,ISO 14040/44 LCA; RoHS Directive 2011/65/EU,False,True,True,True,True,0.514,High,Intertek,2018-03-22,2021-03-21,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-BAT-00029,Battery,NiMH Hybrid Battery Pack,BASF SE (DE),CZ,2020-04-01,v3.7,kWh capacity,207.659,9,63.96,27.8,8.24,24.3,0.7,Nickel: 8.2611%; Natural Graphite: 8.4812%,16.7423,None declared,False,760515.8,221310.1,326261.28,78333.13,134611.3,29.1,42.9,10.3,17.7,100,9682.44,69.7,2492.72,108.309,3.74245,11.35685,2.174971,1.9284369,49.5,1.1,0.535,182.0,6.0,Yes,Low,Upcycling to new application,,CH,PRO (Producer Responsibility),CL,4.8,17305.0,898.385,False,9.3,Bluesign®; EU Battery Regulation 2023/1542,False,True,,True,True,0.501,Medium,Self-declared,2020-08-22,2024-08-21,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-BAT-00030,Battery,Grid-Scale BESS Module,HeidelbergMaterials (DE),BE,2024-07-13,v3.6,kWh capacity,412.353,6,47.22,52.78,0,25.4,2.6,Cobalt: 7.6722%,7.6722,NMP solvent,True,189657.06,75293.85,82121.51,17638.11,14603.59,39.7,43.3,9.3,7.7,100,19429.99,53.6,10459.88,184.826,40.1086,15.89713,4.947019,1.5638337,35.3,5.5,0.568,103.0,,No,Not assessed,Pyrometallurgical smelting,89.9,IT,Not established,PE,5.0,2761.0,284.627,False,4.1,EPD (Environmental Product Declaration); CE Marking; ISO 50001; Cradle to Cradle Certified; EU Battery Regulation 2023/1542,True,True,True,True,True,0.724,High,DNV,2024-08-07,2025-08-07,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-BAT-00031,Battery,Lithium-Ion Battery Pack (EV),EnerTeck (FR),DK,2019-06-19,v2.0,kWh capacity,241.828,7,37.22,22.57,40.21,4.8,5,Lithium: 1.2641%,1.2641,NMP solvent; Lithium hexafluorophosphate,True,1023515.76,410429.82,497428.66,185256.35,-69599.07,40.1,,18.1,-6.8,100,11390.57,82.0,47840.35,20.206,1.6201,12.04817,4.605199,1.9350637,26.1,2.4,0.964,190.0,7.0,Yes,High,Composting (bio-based only),25.3,CN,Industrial collection,US,9.0,11085.0,670.166,False,4.0,ISO 50001; Cradle to Cradle Certified; EPD (Environmental Product Declaration),True,True,True,True,True,0.898,Medium,SGS,2019-09-12,2021-09-11,ESPR 2024/1781 v1.0,Modelled (SimaPro),,Normal,,,,
